"","Mod","Domain","Dimen","Sample","C_Smoothness","C_Range","Neighbors","Seed_off","MSE_Laplace","MSE_VL","MSE_VL_z","MSE_LowRank","LS_Laplace","LS_VL","LS_VL_z","LS_LowRank","Time_Laplace","Time_VL","Time_VL_z","Time_LowRank","Iter_Laplace","Iter_VL","Iter_VL_z","Iter_LowRank"
"254",3,10,2,1089,0.5,0.3,10,115024,0.4322742,0.4369731,0.4332417,0.4690732,-1027.043,-1046.873,-1027.175,-1095.15,1.612807,0.1744277,0.2337754,0.1548502,7,7,7,7
"255",4,10,2,1089,0.5,0.3,10,364725,0.3616099,0.3673029,0.3637156,0.4102046,-943.1359,-959.9807,-945.3881,-1039.776,1.766328,0.1965907,0.2549098,0.1858478,8,8,8,8
"256",2,10,2,2025,0.5,0.3,10,614776,0.7124303,0.7220524,0.7202575,0.8099786,-2309.302,-2373.504,-2316.487,-2670.409,4.079843,0.2305419,0.2849233,0.1438355,5,5,5,4
"257",3,10,2,2025,0.5,0.3,10,21258,0.3827516,0.3942249,0.3856397,0.4477127,-1760.698,-1803.29,-1765.423,-2011.979,5.298897,0.3844211,0.5080323,0.3449206,9,9,9,10
"258",4,10,2,2025,0.5,0.3,10,452141,0.3187728,0.3255371,0.3208262,0.3817159,-1646.419,-1683.072,-1651.451,-1885.481,4.976454,0.3480463,0.4649973,0.3645124,8,8,8,8
"259",2,10,2,4096,0.5,0.3,10,308162,0.5911398,0.6160817,0.6081847,0.8254737,-4088.173,-4303.843,-4115.418,-5414.906,16.33386,0.4207497,0.6377077,0.3277404,5,5,6,4
"260",3,10,2,4096,0.5,0.3,10,811034,0.3515996,0.3661896,0.3565903,0.4870783,-3226.905,-3365.849,-3248.81,-4224.621,31.18606,1.069549,1.405413,1.090846,13,13,13,15
"261",4,10,2,4096,0.5,0.3,10,897992,0.2721529,0.2837682,0.275286,0.3701098,-2930.293,-3054.388,-2944.169,-3713.541,22.0804,0.7087634,0.7994344,0.6039994,8,9,8,8
"262",2,10,2,8100,0.5,0.3,10,490447,0.5096356,0.5385736,0.5470183,0.8369914,-6946.897,-7533.314,-7122.657,-10849.23,64.06345,1.17698,1.241274,0.7637644,5,6,6,5
"263",3,10,2,8100,0.5,0.3,10,647743,0.2854797,0.2986457,0.2945909,0.4558677,-5473.846,-5832.968,-5546.36,-8130.475,118.4242,1.97039,2.887705,2.375501,13,13,13,15
"264",4,10,2,8100,0.5,0.3,10,343761,0.2396432,0.2512228,0.2425315,0.3919617,-5077.04,-5389.261,-5124.567,-7601.429,89.77982,1.328235,1.683946,1.12633,9,9,9,8
"265",2,10,2,16900,0.5,0.3,10,146334,0.4277361,0.4655326,0.4966357,0.8922716,-11965.58,-13437.96,-12601.29,-23197.91,306.8739,1.702885,2.841627,1.651742,5,6,7,5
"266",3,10,2,16900,0.5,0.3,10,873698,0.2497826,0.2693395,0.2644564,0.4783593,-9705,-10714.37,-9927.81,-17466.56,565.2405,3.668247,4.878428,5.057059,12,12,11,14
"267",4,10,2,16900,0.5,0.3,10,164220,0.1949281,0.2085703,0.1988553,0.3838146,-8555.749,-9443.022,-8706.565,-15803.19,436.7686,2.968415,3.761037,3.168686,9,9,9,9
"268",2,10,2,256,0.5,0.3,10,232801,0.8048041,0.8054439,0.8051926,0.8138686,-336.6033,-337.1062,-336.6499,-337.2504,0.1023796,0.07264018,0.0599618,0.03558564,4,4,4,4
"269",3,10,2,256,0.5,0.3,10,974237,0.5023178,0.496443,0.5021291,0.504589,-266.142,-265.2362,-266.0987,-268.9804,0.1607468,0.1045518,0.1176693,0.0814631,10,10,10,10
"270",4,10,2,256,0.5,0.3,10,557552,0.4419253,0.4346765,0.4418814,0.4193048,-254.2579,-252.5569,-254.2759,-249.6265,0.1648545,0.08221793,0.1057951,0.06387091,8,8,8,8
"271",2,10,2,625,0.5,0.3,10,165647,0.7877289,0.8046046,0.7896444,0.8462732,-783.9494,-800.2874,-784.3582,-838.1931,0.3556356,0.09420037,0.09235573,0.07025146,4,4,4,4
"272",3,10,2,625,0.5,0.3,10,148793,0.4600852,0.4654901,0.459929,0.4819585,-621.304,-623.9398,-621.1996,-642.5855,0.6756625,0.1207147,0.1571472,0.1073916,8,8,8,8
"273",4,10,2,625,0.5,0.3,10,364740,0.367024,0.3662249,0.367773,0.3816637,-570.1466,-568.8407,-570.5031,-581.9917,0.5513992,0.1550057,0.1789508,0.1165795,8,8,8,8
"274",2,10,2,1089,0.5,0.3,10,676590,0.7413262,0.7605048,0.7474286,0.8241315,-1318.202,-1339.133,-1319.181,-1437.468,1.010273,0.1290936,0.1734867,0.08743739,4,5,5,4
"275",3,10,2,1089,0.5,0.3,10,350408,0.3985685,0.4068353,0.4003824,0.4406422,-965.1715,-981.7295,-966.5234,-1046.356,2.034848,0.2928879,0.3615057,0.2562127,12,12,12,12
"276",4,10,2,1089,0.5,0.3,10,730613,0.3588011,0.364095,0.3595246,0.391817,-952.3867,-967.5683,-953.1082,-1023.633,1.861534,0.2461348,0.2612832,0.1903148,9,9,9,9
"277",2,10,2,2025,0.5,0.3,10,396141,0.6897689,0.7013072,0.6875512,0.7841178,-2234.26,-2323.877,-2234.706,-2628.462,4.168946,0.1987081,0.2956893,0.1552758,5,5,5,4
"278",3,10,2,2025,0.5,0.3,10,735839,0.4108754,0.4188915,0.4126333,0.4716724,-1781.372,-1829.685,-1787.107,-2043.957,7.162903,0.4534965,0.71895,0.4472208,12,12,12,13
"279",4,10,2,2025,0.5,0.3,10,354571,0.3363091,0.3456248,0.3389701,0.4035912,-1692.91,-1735.659,-1698.317,-1927.506,4.834079,0.2995908,0.405761,0.2742748,8,8,8,8
